x,y,z
769120.1844,2632088.168,0.032125
769161.0357,2632082.123,0.020656
769202.0827,2632076.747,0.01394
769243.2904,2632072.086,0
769284.6101,2632068.188,0
769325.9835,2632065.099,0
769367.3347,2632062.85,0
769408.5846,2632061.439,0
769449.6688,2632060.831,0.016504
769490.5374,2632060.979,0.023801
769531.1546,2632061.835,0.03518
769571.4949,2632063.345,0.047049
769611.5364,2632065.46,0.060206
769651.2624,2632068.127,0.075166
769690.6614,2632071.297,0.092148
769729.7249,2632074.919,0.111386
769768.4471,2632078.946,0.132912
769806.8224,2632083.332,0.15675
769844.8501,2632088.03,0.183031
769882.53,2632092.998,0.211858
769919.8614,2632098.193,0.243273
769956.8454,2632103.574,0.276441
769993.4833,2632109.101,0.311055
770029.7752,2632114.735,0.347422
770065.7228,2632120.439,0.384821
770101.3307,2632126.176,0.422477
770136.5997,2632131.911,0.459794
770171.5303,2632137.609,0.496249
770206.1224,2632143.235,0.531344
770240.3779,2632148.755,0.564753
770274.2981,2632154.138,0.59629
770307.8831,2632159.35,0.625835
770341.1353,2632164.361,0.653387
770374.0553,2632169.14,0.678955
770406.6463,2632173.656,0.702576
770438.9132,2632177.881,0.724361
770470.8609,2632181.787,0.744323
770502.4994,2632185.347,0.762377
770533.8501,2632188.547,0.778692
770564.938,2632191.39,0.793748
770595.7859,2632193.891,0.807925
770626.4124,2632196.064,0.821313
770656.8302,2632197.924,0.833934
770687.05,2632199.488,0.845825
770717.0819,2632200.77,0.856982
770746.9383,2632201.787,0.867476
770776.6265,2632202.554,0.877335
770806.1541,2632203.088,0.88661
770835.531,2632203.404,0.895385
770864.7643,2632203.519,0.903734
770893.8611,2632203.449,0.911672
770922.8292,2632203.212,0.919129
770951.6771,2632202.823,0.926155
770980.4132,2632202.301,0.932972
771009.044,2632201.663,0.939601
771037.5759,2632200.926,0.945881
771066.0196,2632200.108,0.951814
771094.3845,2632199.228,0.957659
771122.6732,2632198.304,0.963807
771150.8945,2632197.355,0.969911
771179.0565,2632196.401,0.975463
771207.1633,2632195.46,0.980483
771235.2233,2632194.554,0.985087
771263.2397,2632193.703,0.989342
771291.2156,2632192.928,0.993232
771319.1576,2632192.248,0.996784
771347.0683,2632191.687,1.000038
771374.9461,2632191.265,1.002994
771402.7883,2632191.003,1.005729
771430.589,2632190.924,1.009134
771458.3362,2632191.044,1.013849
771486.0101,2632191.372,1.019175
771513.5874,2632191.907,1.024423
771541.0466,2632192.643,1.029441
