lat,longitude,magnitude of bed shear stress (N/m^2)
25.75280000000,89.72260000000,1.68E-25
25.75110000000,89.72130000000,2.45E-25
25.74940000000,89.72040000000,5.75E-25
25.74760000000,89.71990000000,5.38E-25
25.74570000000,89.71940000000,2.84E-25
25.74360000000,89.71850000000,2.82E-25
25.74130000000,89.71700000000,7.09E-26
25.73940000000,89.71510000000,2.00E-26
25.73800000000,89.71300000000,1.98E-26
25.73700000000,89.71080000000,1.79E-25
25.73570000000,89.70830000000,3.99E-26
25.73360000000,89.70580000000,1.24E-25
25.73060000000,89.70350000000,2.05E-26
25.72740000000,89.70170000000,1.05E-25
25.72450000000,89.70080000000,1.64E-25
25.72230000000,89.70060000000,1.20E-25
25.72050000000,89.70080000000,1.14E-25
25.71890000000,89.70100000000,7.01E-26
25.71740000000,89.70110000000,6.45E-26
25.71600000000,89.70110000000,6.31E-25
25.71440000000,89.70120000000,1.15E-24
25.71290000000,89.70140000000,8.60E-25
25.71150000000,89.70160000000,5.75E-25
25.71020000000,89.70160000000,5.26E-25
25.70900000000,89.70150000000,8.78E-25
25.70770000000,89.70100000000,9.55E-25
25.70620000000,89.70050000000,6.52E-25
25.70460000000,89.69980000000,2.71E-25
25.70290000000,89.69920000000,3.82E-26
25.70120000000,89.69890000000,2.72E-26
25.69960000000,89.69860000000,6.78E-26
25.69820000000,89.69820000000,1.16E-25
25.69690000000,89.69750000000,1.32E-25
25.69530000000,89.69650000000,3.29E-26
25.69330000000,89.69540000000,2.01E-26
25.69080000000,89.69450000000,4.50E-26
25.68790000000,89.69400000000,8.08E-26
25.68510000000,89.69390000000,1.48E-25
25.68270000000,89.69430000000,3.54E-25
25.68090000000,89.69490000000,6.01E-25
25.67940000000,89.69540000000,3.56E-25
25.67780000000,89.69560000000,1.77E-25
25.67590000000,89.69570000000,1.12E-25
25.67360000000,89.69580000000,1.74E-26
25.67120000000,89.69630000000,6.63E-26
25.66870000000,89.69720000000,3.02E-25
25.66640000000,89.69810000000,4.13E-25
25.66420000000,89.69880000000,8.40E-26
25.66220000000,89.69920000000,7.17E-26
25.65810000000,89.69960000000,2.84E-10
25.65610000000,89.69960000000,5.32E-09
25.65390000000,89.69950000000,1.57E-09
25.65170000000,89.69910000000,5.30E-09
25.64930000000,89.69860000000,2.59E-09
25.64700000000,89.69790000000,2.62E-09
25.64470000000,89.69710000000,2.83E-09
25.64240000000,89.69640000000,1.56E-08
25.64030000000,89.69570000000,4.49E-09
25.63840000000,89.69510000000,2.00E-08
25.63660000000,89.69470000000,4.18E-09
25.63500000000,89.69430000000,5.51E-09
25.63360000000,89.69390000000,1.45E-10
25.63210000000,89.69360000000,2.79E-09
25.63070000000,89.69330000000,1.88E-09
25.62930000000,89.69300000000,1.50E-08
25.62770000000,89.69270000000,1.54E-08
25.62600000000,89.69250000000,1.96E-08
25.62410000000,89.69220000000,7.06E-09
25.62180000000,89.69200000000,3.88E-09
25.61950000000,89.69180000000,8.12E-08
25.61700000000,89.69160000000,1.13E-10
25.61460000000,89.69140000000,3.12E-08
25.61220000000,89.69120000000,3.84E-08
25.61000000000,89.69110000000,2.36E-08
25.60790000000,89.69100000000,1.32E-09
25.60620000000,89.69090000000,9.26E-08
25.60470000000,89.69060000000,9.12E-09
25.60350000000,89.69020000000,8.25E-09
25.60230000000,89.68970000000,0
25.60120000000,89.68890000000,4.13E-08
25.59990000000,89.68790000000,1.10E-08
25.59850000000,89.68670000000,8.35E-08
25.59690000000,89.68550000000,2.05E-07
25.59500000000,89.68430000000,4.33E-07
25.59290000000,89.68330000000,1.22E-07
25.59050000000,89.68270000000,8.50E-10
25.58810000000,89.68250000000,1.26E-07
25.58580000000,89.68250000000,4.59E-07
25.58380000000,89.68270000000,3.93E-07
25.58210000000,89.68290000000,1.65E-07
25.58070000000,89.68310000000,3.85E-07
25.57930000000,89.68320000000,7.34E-08
25.57780000000,89.68320000000,6.51E-08
25.57620000000,89.68320000000,4.12E-07
25.57460000000,89.68320000000,2.44E-07
25.57290000000,89.68320000000,3.89E-07
25.57110000000,89.68330000000,7.02E-07
25.56930000000,89.68330000000,4.16E-07
25.56760000000,89.68340000000,1.50E-06
25.56580000000,89.68330000000,1.54E-06
25.56420000000,89.68310000000,2.69E-07
25.56260000000,89.68280000000,7.09E-07
25.56110000000,89.68230000000,2.61E-06
25.55970000000,89.68180000000,1.45E-07
25.55840000000,89.68110000000,1.78E-07
25.55710000000,89.68030000000,5.78E-07
25.55580000000,89.67930000000,3.74E-06
25.55450000000,89.67820000000,1.92E-06
25.55310000000,89.67710000000,4.48E-06
25.55170000000,89.67610000000,2.12E-06
25.55020000000,89.67520000000,3.26E-06
25.54870000000,89.67440000000,5.13E-07
25.54710000000,89.67350000000,6.65E-07
25.54550000000,89.67240000000,2.04E-06
25.54390000000,89.67120000000,1.44E-06
25.54250000000,89.66970000000,1.98E-06
25.54120000000,89.66790000000,3.41E-06
25.53990000000,89.66610000000,1.67E-06
25.53840000000,89.66430000000,2.07E-07
25.53680000000,89.66270000000,9.25E-08
25.53500000000,89.66110000000,1.29E-08
25.53300000000,89.65930000000,3.92E-09
25.53080000000,89.65750000000,2.38E-07
25.52830000000,89.65590000000,8.57E-08
25.52560000000,89.65490000000,7.65E-07
25.52280000000,89.65460000000,1.87E-07
25.52020000000,89.65450000000,3.73E-07
25.51760000000,89.65460000000,7.44E-07
25.51500000000,89.65450000000,2.70E-07
25.51260000000,89.65430000000,2.04E-06
25.51030000000,89.65410000000,6.53E-06
25.50590000000,89.65310000000,6.01E-26
25.50390000000,89.65220000000,1.11E-25
25.50180000000,89.65100000000,5.90E-26
25.49960000000,89.64960000000,5.09E-26
25.49750000000,89.64820000000,1.31E-25
25.49530000000,89.64680000000,6.57E-26
25.49300000000,89.64560000000,3.05E-26
25.49050000000,89.64450000000,1.45E-26
25.48790000000,89.64360000000,5.33E-26
25.48530000000,89.64300000000,1.22E-25
25.48280000000,89.64270000000,7.85E-26
25.48040000000,89.64260000000,1.37E-25
25.47810000000,89.64270000000,4.04E-25
25.47580000000,89.64290000000,4.94E-25
25.47340000000,89.64330000000,7.57E-25
25.47110000000,89.64380000000,1.62E-24
25.46900000000,89.64430000000,1.82E-24
25.46710000000,89.64490000000,1.30E-24
25.46530000000,89.64540000000,1.29E-24
25.46340000000,89.64590000000,1.44E-24
25.46140000000,89.64620000000,8.37E-25
25.45940000000,89.64640000000,2.86E-25
25.45750000000,89.64630000000,4.69E-25
25.45570000000,89.64600000000,5.05E-25
25.45380000000,89.64540000000,7.32E-25
25.45180000000,89.64450000000,1.33E-24
25.44970000000,89.64330000000,1.51E-24
25.44760000000,89.64180000000,7.92E-25
25.44540000000,89.64010000000,2.57E-25
25.44330000000,89.63840000000,1.44E-25
25.44100000000,89.63660000000,1.57E-26
25.43840000000,89.63480000000,2.82E-26
25.43560000000,89.63320000000,3.86E-26
25.43250000000,89.63190000000,2.11E-26
25.42920000000,89.63090000000,1.14E-25
25.42580000000,89.63020000000,1.74E-25
25.42250000000,89.62970000000,7.09E-26
25.41910000000,89.62920000000,2.70E-26
25.41560000000,89.62880000000,2.46E-26
25.41200000000,89.62860000000,2.75E-26
25.40810000000,89.62890000000,8.71E-27
25.40430000000,89.62960000000,9.37E-27
25.40060000000,89.63080000000,2.83E-26
25.39750000000,89.63220000000,2.22E-25
25.39480000000,89.63340000000,9.49E-25
25.39240000000,89.63410000000,1.31E-24
25.39000000000,89.63390000000,8.37E-25
25.38730000000,89.63280000000,8.82E-25
25.38410000000,89.63150000000,1.26E-24
25.38050000000,89.63060000000,1.99E-24
25.37690000000,89.63020000000,2.03E-24
25.37340000000,89.63010000000,2.23E-24
25.37020000000,89.63000000000,1.99E-24
25.36730000000,89.62970000000,1.92E-24
25.36480000000,89.62900000000,2.10E-24
25.36240000000,89.62800000000,1.72E-24
25.36020000000,89.62680000000,8.92E-25
25.35790000000,89.62550000000,4.88E-25
25.35570000000,89.62450000000,6.03E-25
25.35350000000,89.62360000000,9.43E-25
25.35140000000,89.62250000000,1.13E-24
25.34930000000,89.62070000000,7.57E-25
25.34680000000,89.61830000000,2.45E-25
25.34360000000,89.61580000000,2.16E-25
25.33950000000,89.61370000000,7.79E-25
25.33480000000,89.61250000000,1.69E-24
25.32980000000,89.61230000000,2.25E-24
25.32510000000,89.61340000000,2.07E-24
25.32120000000,89.61560000000,2.02E-24
25.31800000000,89.61800000000,5.89E-24
25.31560000000,89.61990000000,1.38E-23
25.31340000000,89.62100000000,9.77E-24
25.31110000000,89.62170000000,7.08E-24
25.30830000000,89.62220000000,1.03E-23
25.30520000000,89.62260000000,5.41E-24
25.30230000000,89.62270000000,1.11E-23
25.30040000000,89.62230000000,1.18E-23
25.29920000000,89.62130000000,1.27E-23
25.29790000000,89.61980000000,6.23E-24
25.29590000000,89.61820000000,3.34E-24
25.29320000000,89.61670000000,1.62E-24
25.29000000000,89.61540000000,1.16E-24
25.28680000000,89.61450000000,5.95E-25
25.28380000000,89.61400000000,2.35E-26
25.28080000000,89.61380000000,3.96E-26
25.27780000000,89.61390000000,1.07E-25
25.27470000000,89.61420000000,1.72E-25
25.27160000000,89.61470000000,3.95E-25
25.26870000000,89.61510000000,5.09E-25
25.26580000000,89.61540000000,2.07E-25
25.26300000000,89.61530000000,3.46E-24
25.26010000000,89.61450000000,5.84E-24
25.25720000000,89.61310000000,8.95E-24
25.25450000000,89.61130000000,1.28E-24
25.25230000000,89.60960000000,1.12E-24
25.25050000000,89.60770000000,2.50E-24
25.24900000000,89.60560000000,1.86E-24
25.24720000000,89.60280000000,1.06E-24
25.24510000000,89.59950000000,9.61E-25
25.24230000000,89.59630000000,4.00E-25
25.23860000000,89.59380000000,1.02E-25
25.23450000000,89.59230000000,4.58E-26
25.23030000000,89.59130000000,4.62E-26
25.22640000000,89.59040000000,6.40E-26
25.22270000000,89.58950000000,1.97E-26
25.21900000000,89.58850000000,1.47E-25
25.21500000000,89.58770000000,3.62E-25
25.21080000000,89.58730000000,3.79E-25
25.20650000000,89.58750000000,1.76E-25
25.20230000000,89.58850000000,3.27E-25
25.19850000000,89.59010000000,4.42E-25
25.19490000000,89.59190000000,1.94E-25
25.19140000000,89.59350000000,4.91E-26
25.18780000000,89.59450000000,1.86E-25
25.18430000000,89.59490000000,2.39E-25
25.18100000000,89.59490000000,9.29E-26
25.17780000000,89.59430000000,1.84E-25
25.17450000000,89.59340000000,3.60E-25
25.17120000000,89.59230000000,2.66E-25
25.16760000000,89.59120000000,5.55E-26
